Word,0,1,2,3,4,5,6,7,8,9,10,11,12
le,-9.309823650461134,-9.96015139965367,-10.010771217755803,-9.962180898875346,-9.295049099903137,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.306377560173125
odess,-10.002970831021079,-9.96015139965367,-10.010771217755803,-9.962180898875346,-9.988196280463082,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.270870871716214,-9.992185007297415,-10.009063045084767,-9.99952474073307
metaphysical,-10.002970831021079,-8.57385703853378,-10.010771217755803,-9.962180898875346,-9.988196280463082,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.99952474073307
tape,-8.616676469901188,-9.267004219093725,-10.010771217755803,-9.962180898875346,-9.988196280463082,-8.629092283913646,-9.274066062856727,-9.2771575450135,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.99952474073307
donat,-10.002970831021079,-9.96015139965367,-10.010771217755803,-9.962180898875346,-9.988196280463082,-10.015386645033537,-9.967213243416673,-9.2771575450135,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.99952474073307
gye,-10.002970831021079,-9.267004219093725,-10.010771217755803,-9.962180898875346,-9.988196280463082,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.99952474073307
rosenfels,-10.002970831021079,-9.96015139965367,-10.010771217755803,-9.962180898875346,-9.295049099903137,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.99952474073307
lutheran,-10.002970831021079,-9.96015139965367,-10.010771217755803,-9.962180898875346,-9.295049099903137,-10.015386645033537,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.96401805227616,-9.992185007297415,-10.009063045084767,-9.306377560173125
garden,-10.002970831021079,-9.96015139965367,-9.317624037195857,-9.962180898875346,-9.988196280463082,-9.322239464473592,-9.967213243416673,-9.970304725573445,-9.85434982797458,-9.270870871716214,-9.992185007297415,-9.315915864524822,-8.61323037961318
decision,-9.309823650461134,-9.96015139965367,-9.317624037195857,-8.863568610207237,-9.988196280463082,-10.015386645033537,-9.967213243416673,-9.2771575450135,-9.85434982797458,-9.96401805227616,-9.992185007297415,-9.315915864524822,-9.306377560173125
